運行,うんこう,バス運行,バスの運行,運行開始,バスを運行,バスを運行する
味方,みかた,強い味方,心強い味方,味方につけ,味方をする,味方となる
乗車,じょうしゃ,日乗車,バス乗車,バスに乗車,乗車時間,行きに乗車
代行,だいこう,運転代行,取り次ぎや代行,代表代行,代行はじめ,代行業者
学問,がくもん,学問分野,する学問,学問所,学問の神様,学問の自由
小物,こもの,ファッション小物,小物入れ,インテリア小物,和小物,小物等
強調,きょうちょう,ことを強調する,強調すること,強調するため,考えを強調,点を強調
学部,がくぶ,教育学部,学部生,学部長,語学部,文化学部
合意,ごうい,ことで合意する,合意書,米合意,合意の上,プラザ合意
都内,とない,東京都内,都内で行われる,都内のホテル,都内で開かれる,都内の病院
投入,とうにゅう,投入すること,投入口,投入中,市場投入,市場に投入
名物,めいぶつ,名古屋名物,名物となる,秋田名物,店の名物,市の名物
自主,じしゅ,自主練,自主練習,自主事業,自主行動,自主学習
暗い,くらい,暗いところ,まだ暗い,暗い部屋,暗い中,暗い場所
和食,わしょく,和食店,ある和食,和食レストラン,和食屋,ぷ和食
石油,せきゆ,石油化学,石油ガス,石油会社,石油開発,石油ショック
間取り,まどり,間取り図,間取りタイプ,住所間取り,間取りプラン,部屋の間取り
区間,くかん,この区間,一部区間,電化区間,区間内,する区間
決意,けつい,ことを決意する,決意をする,決意表明,する決意,強い決意
区分,くぶん,区分所有,区分ごと,時代区分,等の区分,場合の区分
集まる,あつまる,集まる場所,集まること,集まるよう,みんなで集まる,集まるところ
平気,へいき,平気で言う,平気でやる,ば平気,平気でする,平気でいる
体育,たいいく,体育祭,体育会,体育大会,体育の日,体育の時間
農薬,のうやく,農薬や化学,農薬の使用,農薬米,農薬使用,農薬を使用
幸福,こうふく,幸福の科学,幸福感,幸福度,幸福をもたらす,幸福のため
客室,きゃくしつ,客室等,客室内,客室数,室の客室,ある客室
取り入れ,とりいれ,多く取り入れ,取り入れ口,うまく取り入れ,いち早く取り入れ,上手に取り入れ
回路,かいろ,思考回路,電子回路,回路図,電気回路,する回路
育てる,そだてる,育て方,育てること,育てるため,心を育てる,人を育てる
配合,はいごう,エキス配合,エキスを配合,配合すること,エキスを配合する,古紙配合
島根,しまね,島根県,県島根,島根県立,島根半島,島根県内
予感,よかん,なる予感,ない予感,予感はする,悪い予感,予感と事実
実用,じつよう,実用化,実用書,実用上,実用レベル,その実用
合流,ごうりゅう,合流点,合流地点,道と合流,さんと合流する,人と合流
後期,こうき,時代後期,平安後期,年度後期,年後期,県後期
商売,しょうばい,商売をする,商売上手,商売道具,この商売,商売上
実習,じっしゅう,実習生,教育実習,調理実習,実習を行う,実習室
この世,このよ,ばこの世,ないこの世,すべてこの世,なくこの世,早くこの世
主役,しゅやく,主役級,主役となる,主役たち,今回の主役,今日の主役
北部,ほくぶ,県北部,市北部,九州北部,北部九州,北部地区
庭園,ていえん,日本庭園,式庭園,空中庭園,屋上庭園,庭園内
地面,じめん,地面の上,地面の下,ように地面,地面と平行,地面に足
和風,わふう,和風旅館,和風モダン,ある和風,和風庭園,和風レストラン
全力,ぜんりょく,全力投球,全力で取り組む,全力をあげる,全力を注ぐ,全力で走る
西洋,せいよう,西洋医学,西洋人,西洋音楽,西洋風,西洋文化
住人,じゅうにん,スレ住人,スレの住人,住人たち,板住人,住人さん
目次,もくじ,号の目次,目次を見る,ウィキペディア目次,号目次,目次へもどる
起きる,おきる,起きること,身の回りで起きる,起きそう,まだ起きる,何も起きる
行列,ぎょうれつ,大名行列,長い行列,待ち行列,行列を作る,行列式
局長,きょくちょう,書記局長,局長さん,局長級,局長通知,局局長
角度,かくど,あらゆる角度,いろんな角度,この角度,見る角度,度の角度
都会,とかい,都会の人,都会の中,都会のオアシス,都会育ち,都会の真ん中
集落,しゅうらく,農業集落,集落内,小さな集落,集落の中,この集落
手配,てはい,指名手配,手配等,旅行手配,飲食手配,手配をする
指名,しめい,指名手配,指名を受ける,指名打者,指名業者,ドラフト指名
市区,しく,市区町村,県の市区,他の市区,その他市区,北海道の市区
合宿,がっしゅく,夏合宿,合宿所,強化合宿,合宿中,合宿を行う
起こす,おこす,起こすこと,行動を起こす,問題を起こす,体を起こす,身を起こす
寺院,じいん,区の寺院,ある寺院,市の寺院,県の寺院,この寺院
強度,きょうど,強度を持つ,強度が高い,運動強度,電界強度,強度を上げる
感心,かんしん,感心しきり,感心しきり,感心したよう,感心すること,感心したもの
着く,つく,着くこと,着く前,着くよう,分で着く,着くころ
登る,のぼる,登ること,坂を登る,山を登る,道を登る,少し登る
手帳,てちょう,グルメ手帳,者手帳,母子手帳,ライフ手帳,システム手帳
流石,さすが,流石にそれ,流石にこれ,流石にそこ,流石にここ,流石に今日
受注,じゅちゅう,受注後,受注発注,受注者,工事を受注,商品は受注
発注,はっちゅう,発注者,発注後,先へ発注,発注工事,工事発注
本屋,ほんや,本屋さん,近所の本屋,近くの本屋,大きな本屋,ある本屋
暗号,あんごう,暗号化,暗号文,暗号方式,記号暗号,すべて暗号
新品,しんぴん,新品同様,すべて新品,新品中古,新品商品,全て新品
中部,ちゅうぶ,中部地方,中部地区,県中部,中部発,発中部
起業,きぎょう,起業家,社会起業,持つ起業,ネット起業,起業を目指す
落語,らくご,落語家,落語会,上方落語,落語界,落語研究
取れる,とれる,取れるよう,取れそう,取れること,点を取れる,取れるもの
動かす,うごかす,体を動かす,動かすこと,身体を動かす,手を動かす,人を動かす
対立,たいりつ,間の対立,対立するもの,意見の対立,対立すること,この対立
開花,かいか,開花時期,開花期,開花予想,花の開花,開花後
対決,たいけつ,対決となる,全面対決,対決をする,ガチンコ対決,対決すること
中島,なかじま,中島みゆき,中島さん,中島美,中島町,中島知子
起こり,おこり,ことも起こりうる
落とす,おとす,命を落とす,落とすこと,落としどころ,葉を落とす,落とすよう
定食,ていしょく,定食屋,和定食,定食を食べる,フライ定食,カツ定食
橋本,はしもと,橋本さん,橋本市,橋本駅,県橋本,橋本知事
大宮,おおみや,大宮区,市大宮,大宮駅,大宮市,大宮店
大島,おおしま,大島町,県大島,大島さん,大島弓子,大島理森
神話,しんわ,ギリシャ神話,日本神話,ギリシア神話,神話に登場,神話の世界
工具,こうぐ,電動工具,工具箱,工具を買う,用工具,工具のラプラス
活発,かっぱつ,活発化,活発に活動,活発に意見,活発となる,活動の活発
反発,はんぱつ,反発力,強く反発,反発を受ける,反発ウレタン,強い反発
苦しい,くるしい,苦しそう,苦しいこと,苦しい時,苦しい思い,苦しいとき
大豆,だいず,黒大豆,一部に大豆,大豆イソフラボン,丸大豆,大豆たん
整体,せいたい,整体院,整体学校,市の整体,学校整体,整体ヨガ
丁度,ちょうど,丁度いう,丁度よい,時丁度,丁度イイ,し丁度
問い,とい,その問い,この問い,問いに答え,問い合せ,問い合
重大,じゅうだい,重大発表,事の重大,重大問題,する重大,ない重大
取り出し,とりだし,取り出し口,一つ取り出し,なく取り出し,全部取り出し,取り出し火
定員,ていいん,定員数,入学定員,乗車定員,医学部定員,定員となる
半島,はんとう,半島人,島根半島,イベリア半島,アラビア半島,知多半島
登記,とうき,商業登記,登記をする,登記所,登記上,登記等
速い,はやい,速読,速度が速い,より速い,流れが速い,方が速い
身長,しんちょう,身長が高い,身長アップ,センチ身長,身長と体重,身長体重
役者,やくしゃ,役者さん,役者たち,いい役者,大根役者,いる役者
東洋,とうよう,東洋医学,東洋人,ビジネスの東洋,東洋思想,東洋町
先進,せんしん,先進国,他の先進,高度先進,する先進,先進工業
全文,ぜんぶん,記事全文,全文を読む,全文を見る,記事の全文,全文をよむ
育ち,そだち,生まれ育ち,東京育ち,南国育ち,市育ち,都会育ち
部下,ぶか,部下たち,その部下,自分の部下,人の部下,部下を持つ
着用,ちゃくよう,着用すること,マスク着用,着用時,マスクを着用,水着着用
定着,ていちゃく,定着を図る,定着化,定着すること,学力の定着,定着した感
当局,とうきょく,当局者,中国当局,市当局,公安当局,米当局
返答,へんとう,返答をする,後の返答,その返答,返答先,返答がない
平野,へいや,平野部,平野区,平野さん,市平野,十勝平野
打ち合わせ,うちあわせ,打ち合わせをする,打ち合わせを行う,仕事の打ち合わせ,打ち合わせのため,事前打ち合わせ
平安,へいあん,平安時代,平安神宮,平安期,平安中期,平安後期
何事,なにごと,何事もない,ば何事,何事につけ,何事も起きる,何事もうまい
決まる,きまる,決まるハズ,心も決まる,決まり次第,まだ決まる,もう決まる
返す,かえす,返すこと,点を返す,返す言葉,返事を返す,返すよう
負荷,ふか,負荷をかける,負荷時,運動負荷,負荷が大きい,負荷が少ない
洋服,ようふく,洋服屋,洋服を着,洋服の青山,洋服店,洋服を買う
水着,みずぎ,水着を着,水着写真,ビキニ水着,水着着用,水着のまま
仕立て,したて,仕立て上げ,仕立て上がり,サラダ仕立て,仕立て代,ドラマ仕立て
開店,かいてん,開店前,開店時間,開店休業,時開店,開店直後
部員,ぶいん,この部員,野球部員,部員たち,プレミアム部員,部員のお気に入り
転送,てんそう,記事を転送,転送速度,転送すること,ファイル転送,転送を行う
海洋,かいよう,海洋生物,海洋科学,海洋公園,海洋研究,海洋国家
進歩,しんぽ,科学の進歩,医学の進歩,進歩がない,大きな進歩,研究の進歩
前向き,まえむき,明るく前向き,回前向き,人生前向き,その前向き,前向きに仕事
同期,どうき,前年同期,同期会,同期入社,会社の同期,同期化
発音,はつおん,発音記号,語の発音,正しい発音,発音練習,同じ発音
負ける,まける,負けそう,負けること,負けるわけ,負ける気,負けるよう
真っ赤,まっか,顔真っ赤,ように真っ赤,全身真っ赤,この真っ赤,くらい真っ赤
発動,はつどう,発動中,発動時,発動すること,発動後,発動する事
仕上がり,しあがり,仕上がりとなる,ある仕上がり,美しい仕上がり,ない仕上がり,仕上がり具合
世話,せわ,世話をする,世話役,身の回りの世話,世話係,人の世話
院長,いんちょう,地理院長,院長先生,クリニック院長,病院院長,院院長
下着,したぎ,勝負下着,下着のポイント,用下着,下着生活,トリンプ下着
子宮,しきゅう,子宮内,子宮がん,子宮口,子宮体,子宮ガン
都心,としん,都心部,都心線,東京都心,都心回帰,都心店
物流,ぶつりゅう,物流システム,物流コスト,物流会社,物流業界,物流事業
飲み物,のみもの,飲み物を買う,飲み物を飲む,温かい飲み物,食べ物や飲み物,飲み物代
生息,せいそく,生息地,生息数,生息場所,多く生息,生物の生息
一族,いちぞく,なる一族,神家の一族,その一族,者一族,家の一族
大橋,おおはし,大橋のぞみ,大橋さん,明石大橋,大橋駅,白鳥大橋
死体,したい,その死体,死体を発見,死体となる,死体を見る,死体で発見
運送,うんそう,運送会社,運送事業,運送業者,運送業,自動車運送
一流,いちりゅう,一流ホテル,一流大学,一流ブランド,世界の一流,一流シェフ
金持ち,かねもち,金持ち父さん,金持ちの家,金持ちの人,金持ちの道楽,金持ちが多い
温かい,あたたかい,温かいもの,温かい気持ち,温かい目,とても温かい,温かい心
駅名,えきめい,駅名エリア,名や駅名,駅名を入力,たい駅名,線の駅名
階級,かいきゅう,者階級,上流階級,階級社会,階級章,中流階級
学院,がくいん,きもの学院,学院大学,高等学院,学院長,光学院
集計,しゅうけい,元に集計,もとに集計,集計中,集計したもの,クロス集計
内定,ないてい,内定者,内定取り消し,内定先,内定をもらう,内定式
対話,たいわ,対話をする,対話集会,対話形式,間の対話,対話の中
流出,りゅうしゅつ,原油流出,写真流出,上に流出,油流出,海外流出
西部,せいぶ,県西部,西部地区,市西部,西部本社,アメリカ西部
筆者,ひっしゃ,筆者自身,筆者注,いる筆者,する筆者,ある筆者
上流,じょうりゅう,上流部,上流階級,川の上流,橋上流,上流社会
部会,ぶかい,部会長,作業部会,研究部会,青年部会,部会員
行使,こうし,行使すること,実力行使,力を行使,力を行使する,行使期間
楽曲,がっきょく,楽曲名,この楽曲,いる楽曲,その楽曲,オリジナル楽曲
体感,たいかん,体感温度,体感速度,体感出来,体感気温,体感ハウス
進路,しんろ,後の進路,進路相談,進路を決める,自分の進路,進路決定
記号,きごう,記号の見方,発音記号,記号化,音記号,記号のよう
他社,たしゃ,同業他社,他社さん,他社様,他社商品,他社に負け
神田,しんでん,神田川,神田うの,神田明神,神田駅,神田さん
農園,のうえん,農園さん,自家農園,ふれあい農園,ちゃん農園,和田農園
消える,きえる,消えること,消えそう,コメントも消える,すぐ消える,もう消える
店主,てんしゅ,店主さん,店の店主,店主の日記,店主のブログ,店主自ら
運び,はこび,運びとなる,する運び,運び屋,荷物運び,運び入れ
身分,みぶん,その身分,等の身分,自分の身分,者の身分,ない身分
両者,りょうしゃ,この両者,両者の間,その両者,両者間,両者の中間
急速,きゅうそく,急速に悪化,急速に進行,近年急速,急速に進歩,急速に高まり
美味い,うまい,美味そう,美味いもの,とても美味い,とっても美味い,美味い店
受け取り,うけとり,受け取り後,商品受け取り,受け取り回数,店頭受け取り,商品の受け取り
一品,いっぴん,ない一品,この一品,今日の一品,一品メモ,ある一品
下落,げらく,下落となる,大きく下落,下落したこと,相場の下落,下落相場
調和,ちょうわ,予定調和,空気調和,調和を図る,見事に調和,生活の調和
有力,ゆうりょく,有力者,有力馬,地元有力,有力紙,する有力
指し,さし,ソフト指し,ことを指してる,何を指してる,指し回し,面指し
電化,でんか,電化区間,電化プロパンガス,用品電化,電化マンション,電化工事
調味,ちょうみ,化学調味,合わせ調味,うま味調味,風調味,その他調味
学級,がっきゅう,学級委員,人学級,人数学級,学級づくり,学級活動
勝てる,かてる,勝てそう,勝てるわけ,勝てるよう,勝てる気,勝てるはず
打ち上げ,うちあげ,花火も打ち上げられる
中世,ちゅうせい,日本中世,中世都市,中世後期,中世社会,中世文学
死者,ししゃ,死者数,死者を出す,人の死者,死者たち,死者の書
心身,しんしん,重度心身,者の心身,心身のバランス,心身医学,心身のリフレッシュ
指数,しすう,指数先物,生活指数,感指数,力指数,度指数
商工,しょうこう,農商工,日本商工,商工業者,東京商工,市商工
線路,せんろ,線路上,線路内,線の線路,線路の上,鉄道線路
会談,かいだん,首相と会談,会談後,会談を行う,外相会談,者会談
前期,ぜんき,時代前期,年度前期,前期の人物,年前期,昭和前期
物事,ものごと,物事を考える,物事を見る,物事を進める,物事を決める,ある物事
上級,じょうきゅう,上級者,上級クラス,上級レベル,上級学校,地方上級
先発,せんぱつ,先発投手,先発出場,今日の先発,先発品,先発医薬品
配当,はいとう,配当金,配当等,金の配当,配当予想,中間配当
直送,ちょくそう,直送品,直送商品,直送のため,農家直送,一部の直送
和室,わしつ,本館和室,和室和洋,ある和室,和室タイプ,階和室
家事,かじ,家事をする,家事代行,家事の合間,仕事や家事,家事をこなす
県道,けんどう,県の県道,町の県道,この県道,走る県道,通る県道
流す,ながす,血を流す,流すこと,流しそう,水を流す,電流を流す
定休,ていきゅう,定休日,時間定休,水曜定休,月の定休,月曜定休
部活,ぶかつ,部活と勉強,部活中,同じ部活,部活帰り,高校の部活
問う,とう,問うこと,意味を問う,問うもの,問う問題,農を問う
図面,ずめん,図面等,図面を見る,図面上,図面を書く,その図面
後者,こうしゃ,後者の方,後者の場合,後者のほう,後者のよう,ば後者
開通,かいつう,全線開通,開通後,線開通,開通式,開通予定
万全,ばんぜん,万全を期す,万全の注意,体調万全,万全を期する,万全の体調
東部,とうぶ,県東部,市東部,東部地区,北海道東部,県の東部
集める,あつめる,注目を集める,人気を集める,集めること,人を集める,話題を集める
球場,きゅうじょう,球場で行われる,後楽園球場,球場内,ナゴヤ球場,この球場
農村,のうそん,農村部,都市と農村,農業農村,明るい農村,農村社会
口調,くちょう,口調で言う,強い口調,その口調,ない口調,口調で話す
真相,しんそう,真相究明,その真相,真相を知る,死の真相,事の真相
天神,てんしん,天神駅,天神さん,天神社,天神様,天神店
意向,いこう,する意向,意向を表明,たい意向,者の意向,意向を表明する
台所,だいどころ,台所用,台所用品,台所の水,農家の台所,家の台所
礼金,れいきん,礼金等,礼金ナシ,なし礼金,分の礼金
カ所,かしょ,一カ所,何カ所,八カ所,二カ所,三カ所
高温,こうおん,高温期,高温下,高温ガス,高温時,日光や高温
写し,うつし,書の写し,丸写し,その写し,写し等,等の写し
漢方,かんぽう,漢方医学,漢方相談,漢方医,中国漢方,漢方生薬
屋外,おくがい,屋外用,屋外タンク,屋外広場,屋外作業,屋外で使用
屋台,やたい,屋台村,屋台で食べる,屋台風,祭りの屋台,祭り屋台
真理,しんり,真理さん,真理教,天地真理,真理ちゃん,その真理
指す,さす,ものを指す,指すこと,事を指す,指す言葉,何を指す
運ぶ,はこぶ,足を運ぶ,運ぶこと,荷物を運ぶ,幸せを運ぶ,運ぶため
館内,かんない,館内放送,館内ショップ,館内のパブリック,館内着,館内レストラン
区画,くかく,区画整理,土地区画,一区画,区画図,区画数
平等,びょうどう,男女平等,下の平等,自由と平等,平等社会,みんな平等
転用,てんよう,転用すること,農地転用,転用元,転用等,写真は転用
所持,しょじ,所持金,所持者,所持品,所持人,所持等
電動,でんどう,電動工具,電動自転車,電動アシスト,電動式,電動歯ブラシ
服用,ふくよう,薬を服用,薬を服用する,服用後,服用中,薬の服用
屋上,おくじょう,屋上緑化,ビルの屋上,屋上庭園,ビル屋上,マンションの屋上
急行,きゅうこう,急行列車,急行電鉄,急行バス,急行線,オリエント急行
用事,ようじ,行く用事,用事がない,ない用事,用事もない,何か用事
味わう,あじわう,味わうこと,気分を味わう,感を味わう,味わう事,味わうため
美女,びじょ,美男美女,森の美女,美女美,美女たち,人の美女
同等,どうとう,同等物,同等品,同等クラス,者と同等,同等かそれ
登校,とうこう,登校日,登校中,登校体育,登校時,元気に登校
追う,おう,後を追う,目で追う,追うごと,追いかけっこ,追うよう
文部,もんぶ,文部科学,年度文部,する文部,日本の文部,年文部
追記,ついき,追記の追記,日追記,たら追記,後日追記,ば追記
宿題,しゅくだい,夏休みの宿題,宿題くん,宿題をする,学校の宿題,宿題をやる
水平,すいへい,水平線,水平方向,水平社,水平対向,水平力
鉄板,てっぱん,鉄板の上,ちり鉄板,その他鉄板,鉄板ダイニング,前の鉄板
大物,おおもの,大物主,大物主神,界の大物,アノ大物,大物ゲスト
持ち主,もちぬし,ブログの持ち主,心の持ち主,力の持ち主,運の持ち主,思想の持ち主
対談,たいだん,対談集,対談形式,この対談,対談記事,スペシャル対談
日和,ひより,日和となる,行楽日和,花見日和,マンガ日和,お出かけ日和
使命,しめい,使命感,使命とする,その使命,自分の使命,使命と考え
前進,ぜんしん,歩前進,大きく前進,大きな前進,前進すること,ほふく前進
持ち帰り,もちかえり,持ち帰り用,持ち帰りずし,持ち帰りもできる,持ち帰り自由,ゴミの持ち帰り
去る,さる,去ること,場を去る,世を去る,ヲタは去る,去る者
着る,きる,着ること,服を着る,着方,着るもの,着物を着る
重点,じゅうてん,重点化,重点分野,重点をおきる,重点事業,重点配分
所定,しょてい,所定の場所,当社所定,所定の用紙,所定の数,当行所定
原油,げんゆ,原油高,原油流出,原油先物,原油相場,原油市場
放出,ほうしゅつ,中に放出,放出中,放出すること,電子放出,放出品
助手,じょしゅ,歯科助手,助手さん,車の助手,調教助手,助手をする
農林,のうりん,農林業,県農林,日本農林,農林高校,農林部
申し出,もうしで,申し出を受ける,申し出をする,申し出がない,その申し出,申し出先
詩人,しじん,詩人たち,詩人さん,する詩人,この詩人,ある詩人
薬物,やくぶつ,薬物使用,する薬物,薬物問題,薬物を使用,薬物を使用する
路面,ろめん,路面電車,路面店,路面温度,走る路面,やすい路面
真っ白,まっしろ,面真っ白,頭真っ白,ように真っ白,ない真っ白,全身真っ白
題名,だいめい,本の題名,題名の通り,この題名,題名通り,題名どおり
農地,のうち,農地等,遊休農地,農地転用,する農地,農地開発
電流,でんりゅう,電流を流す,流れる電流,電流計,出力電流,直流電流
路上,ろじょう,路上生活,路上ライブ,区の路上,町の路上,市の路上
安打,あんだ,内野安打,安打を放つ,安打数,安打となる,全員安打
悲鳴,ひめい,悲鳴を上げる,悲鳴をあげる,悲鳴のよう,うれしい悲鳴,ない悲鳴
他者,たしゃ,他者のため,自分と他者,他者の意見,ない他者,他者の文章
先物,さきもの,先物取引,商品先物,先物市場,原油先物,指数先物
算定,さんてい,金の算定,算定期間,算定すること,算定上,その算定
定年,ていねん,定年後,定年前,定年間近,定年帰農,定年等
下部,かぶ,画面下部,その下部,下部工,上部と下部,下部消化
幸運,こううん,幸運をもたらす,幸運の女神,幸運を運ぶ,今月の幸運,この幸運
中期,ちゅうき,時代中期,中期計画,平安中期,年代中期,昭和中期
家屋,かおく,土地家屋,日本家屋,用家屋,土地や家屋,する家屋
両国,りょうこく,両国間,米両国,両国駅,日両国,中日両国
葉っぱ,はっぱ,この葉っぱ,緑の葉っぱ,葉っぱの形,大きな葉っぱ,葉っぱの上
真夏,まなつ,真夏日,真夏の夜,真夏のよう,真夏の太陽,真夏のオリオン
うつ病,うつびょう,話うつ病,うつ病等,いぼうつ病,うつ病おでき,うつ病ドリル
主流,しゅりゅう,主流となる,主流のよう,主流をなす,主流化,今の主流
神宮,じんぐう,平安神宮,神宮大会,神宮駅,石上神宮,戸神宮
化合,かごう,化合物,その化合,高分子化合,れる化合,族化合
落ち着き,おちつき,落ち着きがない,落ち着きを見せる,落ち着きを感じる,ない落ち着き,落ち着き先
主力,しゅりょく,主力商品,主力とする,主力となる,主力事業,次期主力
配線,はいせん,配線工事,プリント配線,電気配線,配線板,配線図
毎度,まいど,毎度毎度,毎度のこと,毎度の事,毎度おなじみ,毎度お世話
書面,しょめん,する書面,書面をもつ,書面等,その書面,この書面
大使,たいし,日大使,米大使,日本大使,中国大使,マグマ大使
所長,しょちょう,研究所所長,所長さん,所所長,所の所長,研究所の所長
急ぎ,いそぎ,急ぎの方,急ぎの場合,急ぎすぎ,急ぎのお客様,急ぎの仕事
やり取り,やりとり,やり取りをする,やり取りの中,人のやり取り,間のやり取り,このやり取り
役場,やくば,町役場,村役場,町村役場,役場前,市町村役場
有用,ゆうよう,その有用,有用地図,有用植物,高い有用,ない有用
乗客,じょうきゃく,乗客数,他の乗客,乗客たち,人の乗客,乗客を乗せる
買物,かいもの,買物カゴ,買物かご,買物前,買物をする,買物ガイド
配列,はいれつ,配列番号,次元配列,ゲノム配列,配列を有する,その配列
返金,へんきん,場合は返金,返金となる,返金はできる,代金の返金,返金等
学期,がっき,二学期,一学期,秋学期,三学期,春学期
人員,じんいん,人員整理,乗車人員,人員数,人の人員,する人員
速やか,すみやか,たら速やか,速やかにこれ,速やかに市長,速やかに当社,速やかに商品
親族,しんぞく,親族等,その親族,する親族,親族間,者の親族
神楽,かぐら,神楽坂,夜神楽,石見神楽,神楽ちゃん,神楽さん
習い事,ならいごと,習い事教室,教育習い事,習い事をする,習い事友人,くせ習い事
命名,めいめい,勝手に命名,赤ちゃん命名,命名者,命名モバイル,赤ちゃんの命名
島田,しまだ,島田市,島田さん,県島田,島田洋,島田先生
消す,けす,消すこと,火を消す,電気を消す,消すため,消すよう
路地,ろじ,細い路地,通う路地,路地を入る,路地を歩く,この路地
配分,はいぶん,時間配分,予算配分,配分すること,重点配分,配分を行う
前面,ぜんめん,前面道路,前面パネル,前面ガラス,その前面,本体前面
名曲,めいきょく,名曲集,あの名曲,クラシックの名曲,名曲たち,中の名曲
陽気,ようき,春の陽気,陽気の中,この陽気,陽気となる,陽気ぐらし
電鉄,でんてつ,山陽電鉄,長野電鉄,京王電鉄,福電鉄,急行電鉄
次男,じなん,家の次男,次男君,長男と次男,次男さん,次男くん
落下,らっか,落下物,自由落下,落下地点,落下速度,落下式
反日,はんにち,反日教育,反日デモ,ない反日,反日運動,反日活動
役目,やくめ,役目をする,役目を終える,その役目,する役目,自分の役目
言動,げんどう,言動をする,その言動,自分の言動,ない言動,言動を見る
育つ,そだつ,生まれも育つ,中で育つ,すくすく育つ,育つよう,育つこと
小島,こじま,小島よし,小島さん,小島町,小島先生,ある小島
水泳,すいえい,水泳部,水泳教室,水泳大会,水泳場,世界水泳
列島,れっとう,日本列島,千島列島,トカラ列島,列島全体,列島線
向ける,むける,目を向ける,カメラを向ける,顔を向ける,向けサイト,向け地図
新曲,しんきょく,新曲発売,新曲発表,今回の新曲,ぶりの新曲,新曲楽しみ
原発,げんぱつ,チェルノブイリ原発,原発反対,島根原発,日本の原発,原発問題
取り消し,とりけし,取り消し日,内定取り消し,定める取り消し,プランの取り消し,指定取り消し
放つ,はなつ,光を放つ,火を放つ,矢を放つ,ヒットを放つ,安打を放つ
体温,たいおん,体温を上げる,体温表,体温を感じる,体温が高い,体温調整
反する,はんする,反するもの,反すること,反するよう,反する場合,反する行動
化石,かせき,化石化,貝化石,いる化石,化石発見,化石館
部落,ぶらく,やくざ部落,部落問題,部落出身,部落の人,部落学
味わえる,あじわえる,気分を味わえる,感を味わえる,味わえるよう,味わえる店,味わえること
出題,しゅつだい,出題者,クイズで出題,出題形式,問出題,問題を出題
投下,とうか,ネタ投下,投下後,スレに投下,ネタを投下,投下直後
全集,ぜんしゅう,文学全集,実の全集,文庫全集,この全集,曲全集
指先,ゆびさき,その指先,足の指先,指先に力,細い指先,指先を使う
ため息,ためいき,大きなため息,小さくため息,大きくため息,ようにため息,深くため息
洋食,ようしょく,洋食屋,洋食店,和食洋食,ある洋食,洋食レストラン
待ち合わせ,まちあわせ,待ち合わせ場所,待ち合わせをする,待ち合わせ時間,待ち合わせの時間,待ち合わせの場所
両面,りょうめん,物心両面,ソフト両面,心身両面,両面道路,その両面
着手,ちゃくしゅ,工事に着手,開発に着手,着手金,事業に着手,着手すること
負う,おう,負うもの,負うこと,負う場合,リスクを負う,負うところ
下流,かりゅう,下流部,橋下流,下流社会,その下流,川の下流
当面,とうめん,当面の間,当面の問題,当面の生活,当面の活動,ため当面
多発,たはつ,同時多発,多発テロ,トラブル多発,多発するよう,多発すること
全開,ぜんかい,アクセル全開,エンジン全開,全開走行,全力全開,全開で走る
両立,りょうりつ,勉強の両立,仕事の両立,家庭の両立,仕事と両立,両立を目指す
前者,ぜんしゃ,前者の方,前者の場合,前者のほう,前者と後者,前者のよう
炭火,すみび,炭火ダイニング,名物の炭火,店炭火,炭火ホルモン,和牛炭火
生育,せいいく,生育地,植物の生育,生育期,作物の生育,生育期間
気持,きもち,気持玉,たい気持,ない気持,その気持,する気持
何者,なにもの,ない何者,他の何者,あんた何者,その何者,いる何者
頭部,とうぶ,頭部分,その頭部,頭部を強打,頭部を強打する,頭部全体
物体,ぶったい,ない物体,その物体,黒い物体,する物体,ある物体
地酒,じざけ,地酒の店,全国の地酒,県の地酒,秋田の地酒,ワインと地酒
早起き,はやおき,早起きをする,早起き朝,朝早起き,今日は早起き,明日は早起き
取組,とりくみ,取組を進める,取組を行う,する取組,今後の取組,この取組
音波,おんぱ,音波式,音波美顔,音波歯ブラシ,音波を用いる,音波内
注入,ちゅうにゅう,注入すること,注入口,イオン注入,注入後,内に注入
反面,はんめん,その反面,思う反面,ある反面,いる反面,する反面
遊べる,あそべる,遊べるよう,遊べそう,遊べるファッション,遊べる場所,外で遊べる
決着,けっちゃく,決着をつける,決着つけ,決着を見る,ことで決着する,形で決着
対面,たいめん,対面式,対面キッチン,対面通行,対面で聞く,対面すること
公平,こうへい,公平委員,公平感,公平公正,田中公平,間の公平
入所,にゅうしょ,入所者,短期入所,入所生活,所入所,所に入所
物品,ぶっぴん,物品等,する物品,係る物品,ない物品,ある物品
相方,あいかた,相方さん,相方様,その相方,いる相方,ない相方
起用,きよう,起用すること,さんを起用する,人を起用,スタメン起用,投手起用
真空,しんくう,真空パック,真空手,真空ポンプ,真空中,真空引き
感度,かんど,感度アップ,感度を上げる,感度が高い,感度大,感度が悪い
次期,じき,次期首相,次期社長,オバマ次期,次期会長,次期主力
乗り物,のりもの,乗り物天国,ない乗り物,する乗り物,乗り物の中,自動車と乗り物
死去,しきょ,さん死去,病院で死去,ため死去,病院で死去する,日死去
役人,やくにん,役人たち,役人さん,役人様,役人ども,する役人
